Cricinfo_id,AWARDS,awards_telugu
10666,['Wisden Cricketer of the Year 1923'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1923
1112537,nan,
10821,nan,
10668,['Wisden Cricketer of the Year 1960'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1960
10900,['Wisden Cricketer of the Year 1898'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1898
10850,nan,
10866,['Wisden Cricketer of the Year 1907'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1907
665053,nan,
53693,"['Awarded the MBE on 12th June 2004', 'Awarded the OBE on 31st December 2005']","అవార్డెడ్ ది ఎం.బీ.ఇ. ఆన్ 12త్ జూన్ 2004,, అవార్డెడ్ ది ఓ.బీ.ఇ. ఆన్ 31స్ట్ డిసెంబర్ 2005"
297085,nan,
10841,['NBC Denis Compton Award 1997'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 1997
10705,['Wisden Cricketer of the Year 1919'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1919
662973,nan,
10816,['Wisden Cricketer of the Year 1996'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1996
308408,nan,
10893,['NBC Denis Compton Award 1996'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 1996
11745,nan,
210281,nan,
297595,nan,
10862,nan,
10777,"['Wisden Cricketer of the Year 1939', 'Played professional football for Arsenal (FA Cup winner 1950) and represented England in wartime internationals']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1939,, ప్లేయడ్ ప్రోఫెషనల్ ఫుడ్‌బాల్ ఫర్ ఆర్సెనల్ (ఎఫ్.ఏ. కప్ విన్నర్ 1950) అండ్ రెప్రెసెంటేడ్ ఇంగ్లాండ్ ఇన్ వార్టీమ్ ఇంటర్నేషనల్స్"
301648,nan,
550235,nan,
10820,['NBC Denis Compton Award 1996'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 1996
470501,nan,
865833,nan,
10763,nan,
246119,nan,
53754,nan,
422592,nan,
772061,nan,
10712,['Wisden Cricketer of the Year 2012'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 2012
11865,"['Leicestershire 1985-1988 and 2000-date, Lancashire 1989-1993, Derbyshire 1994-1999, Boland  1993-94 to 1994-95']","లీసెస్టర్షైర్ 1985-1988 అండ్ 2000-డేట్, లాంక్షైర్ 1989-1993, డెర్బీషైర్ 1994-1999, బోలాండ్ 1993-94 టు 1994-95"
11951,['Wisden Cricketer of the Year 1930'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1930
652945,nan,
562281,nan,
11886,"['Wisden Cricketer of the Year 1961', 'Awarded the CBE in December 2000']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1961,, అవార్డెడ్ ది సీ.బీ.ఇ. ఇన్ డిసెంబర్ 2000"
302269,nan,
11848,['NBC Denis Compton Award 2001'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2001
641405,nan,
53758,nan,
885181,nan,
11893,nan,
12452,nan,
11954,nan,
11870,"['Wisden Cricketer of the Year 1975', 'Autobiography - ', ' (1977)', 'Awarded the OBE on 29th Dec 2012']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1975,, ఆటోయుతోబ్రఫీ - ,, (1977),, అవార్డెడ్ ది ఓ.బీ.ఇ. ఆన్ 29త్ డిసెంబర్ 2012"
53687,"['First picked for England for the World Cup in 1993.', 'Vice Captain of England for the 1995 tour of India and the 1996 season against New Zealand.']","ఫస్ట్ పిక్కెడ్ ఫర్ ఇంగ్లాండ్ ఫర్ ది వర్ల్డ్ కప్ ఇన్ 1993.,, వైస్ క్యాప్టెన్ ఆఫ్ ఇంగ్లాండ్ ఫర్ ది 1995 టూర్ ఆఫ్ ఇండియా అండ్ ది 1996 సీసన్ అగిన్స్ట్ న్యూ జీలాండ్."
637970,nan,
11965,nan,
11931,nan,
11883,nan,
11995,nan,
11857,['NBC Denis Compton Award 1998'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 1998
12445,nan,
11842,nan,
11919,nan,
11946,['Wisden Cricketer of the Year 1929'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1929
12454,"['NBC Denis Compton Award 2004', 'NBC Denis Compton Award 2005', 'NBC Denis Compton Award 2006', 'NBC Denis Compton Award 2007', 'NBC Denis Compton Award 2008']","ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2004,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2005,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2006,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2007,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2008"
11784,nan,
471202,nan,
11974,nan,
11790,nan,
216183,nan,
644045,nan,
11927,['Wisden Cricketer of the Year 1915'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1915
12461,"['NBC Denis Compton Award 2004, 2009']","ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2004, 2009"
12440,nan,
516039,nan,
11855,nan,
11788,['NBC Denis Compton Award 1996'],ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 1996
12450,"['NBC Denis Compton Award 2004', 'NBC Denis Compton Award 2005', 'NBC Denis Compton Award 2006', 'NBC Denis Compton Award 2007', 'NBC Denis Compton Award 2008']","ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2004,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2005,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2006,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2007,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2008"
216184,nan,
211855,"['NBC Denis Compton Award 2007', 'NBC Denis Compton Award 2008']","ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2007,, ఎన్.బీ.సీ. డెనిస్ కంప్టన్ అవర్డ్ 2008"
414108,nan,
11873,nan,
11786,nan,
11875,['Wisden Cricketer of the Year 1906'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1906
12457,nan,
11963,nan,
641801,nan,
11810,nan,
11914,"['Wisden Cricketer of the Year 1967', 'Walter Lawrence Trophy 1967', 'Awarded the OBE in June 1969', 'Awarded the CBE on 11th June 2005']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1967,, వాల్టర్ లారెన్స్ ట్రోఫీ 1967,, అవార్డెడ్ ది ఓ.బీ.ఇ. ఇన్ జూన్ 1969,, అవార్డెడ్ ది సీ.బీ.ఇ. ఆన్ 11త్ జూన్ 2005"
11929,nan,
521637,nan,
894087,nan,
297036,nan,
256956,nan,
12466,['Walter Lawrence Trophy 2006'],వాల్టర్ లారెన్స్ ట్రోఫీ 2006
290516,nan,
878039,nan,
12490,['Wisden Cricketer of the Year 1966'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1966
12518,nan,
12504,nan,
12514,['Wisden Cricketer of the Year 1984'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1984
12675,nan,
12523,nan,
12493,nan,
12507,['Wisden Cricketer of the Year 1986'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1986
255301,nan,
300073,nan,
12543,"['Wisden Cricketer of the Year 1951', 'First wicketkeeper to 200 Test dismissals', 'First Englishman to 1000 runs and 100 dismissals', 'First player to 2000 runs and 200 dismissals']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1951,, ఫస్ట్ విక్టెట్పర్ టు 200 టెస్ట్ డిస్మిస్సల్స్,, ఫస్ట్ ఇంగ్లీష్మన్ టు 1000 రూన్స్ అండ్ 100 డిస్మిస్సల్స్,, ఫస్ట్ ప్లేయర్ టు 2000 రూన్స్ అండ్ 200 డిస్మిస్సల్స్"
403666,nan,
12492,['Wisden Cricketer of the Year 1940'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1940
53763,nan,
12797,nan,
298693,nan,
12525,nan,
12486,nan,
631668,nan,
53696,"[""ICC Women's Cricketer of the Year 2008"", 'Awarded the MBE in June 2009', 'Awarded the CBE in June 2014']","ఐ.సీ.సీ. వోమెన్'స్ క్రికెటర్ ఆఫ్ ది ఇయర్ 2008,, అవార్డెడ్ ది ఎం.బీ.ఇ. ఇన్ జూన్ 2009,, అవార్డెడ్ ది సీ.బీ.ఇ. ఇన్ జూన్ 2014"
53355,nan,
1124728,nan,
340318,nan,
53233,nan,
275936,nan,
474202,nan,
53211,"['OBE  in 1966', 'Knighted for services to cricket in 1994']","ఓ.బీ.ఇ. ఇన్ 1966,, కింగ్టెడ్ ఫర్ సర్వీసెస్ టు క్రికెట్ ఇన్ 1994"
55161,nan,
53356,nan,
450075,nan,
53218,nan,
432214,nan,
53232,nan,
53223,nan,
53224,nan,
53243,nan,
55159,nan,
53230,nan,
1091078,nan,
55164,nan,
53216,['Wisden Cricketer of the Year 1987'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1987
53222,nan,
53228,nan,
53227,nan,
53276,nan,
252836,nan,
53214,nan,nan
53242,nan,
53266,nan,
53241,['Knighted for servcies to cricket in 1995'],కింగ్టెడ్ ఫర్ సర్వీసెస్ టు క్రికెట్ ఇన్ 1995
55130,nan,
443263,nan,
53249,nan,
53234,nan,
53238,"['Knighted for services to cricket 1964', 'Wisden Cricketer of the Year 1951']","కింగ్టెడ్ ఫర్ సర్వీసెస్ టు క్రికెట్ 1964,, విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1951"
315586,nan,
467349,nan,
53212,nan,
1078699,nan,
341449,nan,
52427,nan,
472353,nan,
1131646,nan,
55187,nan,
52438,nan,
530814,nan,
230549,nan,
52432,nan,
52603,nan,
52441,nan,
348056,nan,
52420,nan,
340317,nan,
52510,nan,
55138,nan,
52512,nan,
52503,nan,
52419,nan,
52621,nan,
551747,nan,
52537,nan,
670045,nan,
52422,['Wisden Cricketer of the Year 1959'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1959
52622,nan,
52454,nan,
52416,nan,
52450,nan,nan
52430,nan,
314647,nan,
52501,nan,
474308,nan,
670041,nan,
52442,nan,
52490,nan,
245373,nan,
52439,nan,
52449,nan,
52437,nan,
52426,nan,
52457,nan,
851501,nan,
52445,nan,
52424,nan,
252940,nan,
906783,nan,
474201,nan,
230556,nan,
230558,['ICC Emerging Player of the Year 2012'],ఐ.సీ.సీ. ఎమర్జింగ్ ప్లేయర్ ఆఫ్ ది ఇయర్ 2012
52630,nan,
52631,nan,
52632,nan,
52638,nan,
52665,['Lord Gavron Award - 2003'],లార్డ్ గవ్రాన్ అవర్డ్ - 2003
52634,nan,
355355,nan,
52636,['Wisden Cricketer of the Year 1967'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1967
52662,['Lord Gavron Award - 2001'],లార్డ్ గవ్రాన్ అవర్డ్ - 2001
315594,nan,
52639,nan,
55174,nan,
52635,nan,
6950,nan,
1131647,nan,
416190,nan,
431912,nan,
52681,nan,
230552,nan,
52683,nan,
230557,nan,
53110,nan,
52972,nan,
52950,nan,
314622,nan,
52936,"['Eastern Transvaal debut 1993/94', 'Barbados 1989/90-1993/94']","ఈస్టర్న్ త్రానస్వాల్ డెబుట్ 1993/94,, బర్బడోస్ 1989/90-1993/94"
53125,nan,
230554,['Lord Gavron Award - 2005'],లార్డ్ గవ్రాన్ అవర్డ్ - 2005
52941,['Wisden Cricketer of the Year 1958'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1958
52953,nan,
52995,nan,
53118,nan,
53115,nan,
52926,nan,
52946,"['Wisden Cricketer of the Year 1964', 'Walter Lawrence Trophy 1974', 'Knighted for services to cricket 1975', 'Selected as one of five Wisden cricketers of the century, 2000']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1964,, వాల్టర్ లారెన్స్ ట్రోఫీ 1974,, కింగ్టెడ్ ఫర్ సర్వీసెస్ టు క్రికెట్ 1975,, సెలెక్టెడ్ అస్ వన్ ఆఫ్ ఫైవ్ విస్డెన్ క్రికెటర్స్ ఆఫ్ ది సెంచరీ, 2000"
52930,nan,
52960,nan,
52935,nan,
52932,nan,
55153,nan,
53014,nan,
52934,['Wisden Cricketer of the Year 1997'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1997
307943,nan,
399276,nan,
52929,['Wisden Cricketer of the Year 1979'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1979
55150,nan,
53116,nan,
52923,nan,
52962,nan,
906789,nan,
52942,nan,
52944,nan,
52939,nan,
230551,nan,
307942,nan,
52971,nan,
1206110,nan,
371989,nan,
52959,nan,
53041,nan,
820691,nan,
52931,nan,
52983,nan,
52938,nan,
52940,nan,
55157,nan,
820689,nan,
632168,nan,
52997,nan,
52951,nan,
53001,nan,
53119,nan,
275189,nan,
52955,nan,
52927,nan,
52925,nan,
52928,nan,
355356,nan,
52922,nan,
424630,nan,
52947,nan,
52969,nan,
53002,nan,
53133,nan,
53130,nan,
355358,nan,
434283,nan,
914567,nan,
55175,nan,
355359,"[""ICC Women's ODI Cricketer of the Year - 2012"", ""ICC Women's T20I Cricketer of the Year - 2015""]","ఐ.సీ.సీ. వోమెన్'స్ ఓ.డి.ఐ. క్రికెటర్ ఆఫ్ ది ఇయర్ - 2012,, ఐ.సీ.సీ. వోమెన్'స్ టి20ఐ క్రికెటర్ ఆఫ్ ది ఇయర్ - 2015"
53191,nan,
53134,nan,
53132,nan,
252933,nan,
593974,nan,
53153,nan,
53152,nan,
55158,nan,
53187,nan,
53131,nan,
314651,nan,
53144,nan,
53147,nan,
248920,nan,
53196,['Wisden Cricketer of the Year 1951'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1951
53197,nan,
52678,nan,
52687,nan,
330432,nan,
245372,nan,
333077,nan,
230559,nan,
52796,nan,
315585,nan,
52671,['Tasmania First-Class Career Span: 1984-85'],తస్మానియా ఫస్ట్-క్లాస్ క్యారీర్ స్పాన్: 1984-85
274921,nan,
52790,nan,
604302,nan,
252932,nan,
914467,nan,
1065662,nan,
581160,nan,
52684,nan,
677081,nan,
1088044,nan,
52672,nan,
432212,nan,
52669,nan,
52667,nan,
52794,nan,
820351,nan,
52670,nan,
52677,nan,
530139,nan,
52675,nan,
52688,nan,
52799,nan,
527656,nan,
276298,nan,
450101,nan,
52820,nan,
52913,nan,
52912,nan,
52803,nan,
914541,nan,
52833,nan,
52918,nan,
52804,['Wisden Cricketer of the Year 1951'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1951
466940,nan,
52823,nan,
52821,nan,
52827,nan,
52819,nan,
52910,nan,
55149,nan,
52805,nan,
230553,['Lord Gavron Award - 2006'],లార్డ్ గవ్రాన్ అవర్డ్ - 2006
52812,"['Wisden Cricketer of the Year 1977', 'Walter Lawrence Trophy 1980', 'Walter Lawrence Trophy 1986', 'Selected as one of the Five Wisden Cricketers of the Century, 2000']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1977,, వాల్టర్ లారెన్స్ ట్రోఫీ 1980,, వాల్టర్ లారెన్స్ ట్రోఫీ 1986,, సెలెక్టెడ్ అస్ వన్ ఆఫ్ ది ఫైవ్ విస్డెన్ క్రికెటర్స్ ఆఫ్ ది సెంచరీ, 2000"
52810,['Wisden Cricketer of the Year 1992'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1992
52815,nan,
52915,nan,
52813,nan,
769517,nan,
52917,nan,
52808,nan,nan
52817,['Wisden Cricketer of the Year 1975'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1975
52801,nan,
52186,['Son of J.K.Holt (Jamaica 1905-06 to 1929-30)'],సాన్ ఆఫ్ జ్.క్.హాల్ట్ (జామైక 1905-06 టు 1929-30)
52073,nan,
348091,nan,
52196,nan,
391485,nan,
52047,nan,
906755,nan,
52043,nan,
252843,nan,
52076,nan,nan
52051,nan,
443150,nan,
52061,nan,
52066,['Walter Lawrence Trophy 1998'],వాల్టర్ లారెన్స్ ట్రోఫీ 1998
530811,nan,
52063,"['Wisden Cricketer of the Year 1977', 'Tasmania First-Class Career Span: 1982-83']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1977,, తస్మానియా ఫస్ట్-క్లాస్ క్యారీర్ స్పాన్: 1982-83"
52070,['Wisden Cricketer of the Year 1964'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1964
474190,nan,
55132,nan,
52197,nan,
52057,nan,
670025,nan,
314628,nan,
530812,nan,
52050,['Wisden Cricketer of the Year 1934'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1934
52058,nan,
914519,nan,
52064,nan,
52045,nan,
52059,nan,
52193,nan,
52053,nan,
581379,nan,
332937,nan,
52048,nan,
52055,nan,
52191,nan,
1066826,nan,
53395,nan,
52199,nan,
670027,nan,
432216,nan,
52282,nan,
52267,nan,
52200,nan,
52202,nan,
726101,nan,
52211,nan,
52210,nan,
52215,"['First-Class Debut: Berbice v Demerara, 1978/79']","ఫస్ట్-క్లాస్ డెబుట్: బర్బిస్ వ్యూ డెమెరరా, 1978/79"
52222,nan,
52220,nan,
52208,nan,
52203,nan,
906777,nan,
958007,nan,
235657,nan,
315912,nan,
52278,nan,
333338,nan,
52227,nan,
52280,nan,
55195,nan,
52209,nan,
820681,nan,
52206,nan,
670031,nan,
52270,nan,
52277,nan,
52285,['Wisden Cricketer of the Year 1983'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1983
52290,nan,
52287,['Wisden Cricketer of the Year 1964'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1964
472975,nan,
355352,nan,
52291,nan,
52294,nan,
472977,nan,
52293,nan,
52288,nan,
315595,nan,
52333,nan,
52334,nan,
670035,nan,
1129522,nan,
233565,nan,
51784,nan,
51786,nan,
386563,nan,
51742,nan,
51782,nan,
51787,nan,
530816,nan,
220841,nan,
51743,"['First-Class Debut: Leeward Islands v Windward Islands, 1972/73']","ఫస్ట్-క్లాస్ డెబుట్: లీవర్డ్ ఇస్లాండ్స్ వ్యూ వింద్వార్డ్ ఇస్లాండ్స్, 1972/73"
51740,nan,
51790,nan,
51866,nan,
51863,nan,
51792,nan,
51799,nan,
51865,nan,
51789,nan,
55124,nan,
51800,nan,
355351,nan,
55126,nan,
51793,nan,
51862,nan,
51797,['Wisden Cricketer of the Year 1974'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1974
51794,nan,
51788,nan,
51899,nan,
432072,nan,
51907,['Wisden Cricketer of the Year 1964'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1964
51893,nan,
51898,nan,
51889,nan,
300449,nan,
51876,['Wisden Cricketer of the Year 1980'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1980
51896,nan,
510823,nan,
51880,nan,
51870,nan,
51883,['Wisden Cricketer of the Year 1972'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1972
55171,nan,
909779,nan,
51937,nan,
51983,nan,
51872,nan,
51888,['Registered as George Gladstone Marais'],రిజిస్టరెడ్యెర్డ్ అస్ జార్జ్ గ్లాడ్స్టోన్ మారెయస్
51901,"['Wisden Cricketer of the Year 1977', 'Walter Lawrence Trophy 1978']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1977,, వాల్టర్ లారెన్స్ ట్రోఫీ 1978"
1199630,nan,
51891,['Wisden Cricketer of the Year 1985'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1985
51909,nan,
446101,nan,
51881,nan,
37106,['New Zealand Cricket Almanack Player of the Year 1956'],న్యూ జీలాండ్ క్రికెట్ ఆల్మానక్ ప్లేయర్ ఆఫ్ ది ఇయర్ 1956
51897,nan,
51887,nan,
51905,nan,nan
51877,nan,
51923,nan,
670023,nan,
55148,nan,
749693,nan,
51903,nan,
51885,['PCA Player of the Year 2007'],పి.సీ.ఏ. ప్లేయర్ ఆఫ్ ది ఇయర్ 2007
51902,nan,
51878,nan,
431902,nan,
51507,nan,
424631,nan,
468778,nan,
51483,"['Wisden Cricketer of the Year 1940', 'Awarded the MBE in 1945', 'Knighted in 1962']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1940,, అవార్డెడ్ ది ఎం.బీ.ఇ. ఇన్ 1945,, కింగ్టెడ్ ఇన్ 1962"
51457,nan,
51533,nan,
51462,nan,nan
348026,nan,
495551,nan,
670017,nan,
771649,nan,
601968,nan,
51634,nan,
371988,nan,
457234,nan,
51473,nan,
51531,nan,
332187,nan,
51492,nan,
51493,nan,
556749,nan,
820677,nan,
51477,['Walter Lawrence Trophy 1981'],వాల్టర్ లారెన్స్ ట్రోఫీ 1981
51536,nan,
51465,nan,
333066,nan,
51469,['ICC Player of the Year 2008'],ఐ.సీ.సీ. ప్లేయర్ ఆఫ్ ది ఇయర్ 2008
316153,nan,
315592,nan,
51470,nan,
51481,nan,
51458,nan,
314615,nan,
371814,nan,
51463,nan,
51479,nan,nan
51627,nan,
275943,nan,
391832,nan,
315589,nan,
51489,nan,
424629,nan,
494581,nan,
51626,nan,
474191,nan,
51485,nan,
51487,nan,
51475,nan,
55185,nan,
51460,nan,
51098,nan,
1078692,nan,
510821,nan,
51112,nan,
51194,nan,
51105,nan,
51119,nan,
355348,nan,
51107,['Wisden Cricketer of the Year 1992'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1992
51111,nan,
661441,nan,
55192,nan,
51108,nan,
51113,nan,
51100,nan,
348054,nan,
245377,nan,
51102,nan,
670013,nan,
51110,nan,
51103,nan,
51104,nan,
51101,nan,
51134,nan,
314650,nan,
51246,nan,
51280,nan,
1078693,nan,
51213,nan,
749759,nan,
498440,nan,
51232,nan,
820333,nan,
51239,['Wisden Cricketer of the Year 1970'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1970
51240,nan,
51242,nan,
51234,nan,
457249,nan,
51436,nan,
51208,nan,
51241,nan,
51220,nan,
230555,nan,
431909,nan,
51442,nan,
494582,nan,
55113,nan,
51303,nan,
51235,nan,nan
51244,nan,
51209,nan,
329087,nan,
51258,nan,
51292,nan,
51248,nan,
277472,nan,
51211,nan,
51287,nan,
51251,nan,
51288,nan,
51221,nan,
51278,nan,
55112,nan,
55109,nan,
51226,nan,
775411,nan,
51223,nan,nan
51440,nan,
51439,nan,
51224,nan,
341593,nan,
51437,nan,
52347,nan,
537319,nan,
52351,nan,
55136,nan,
25635,nan,
52337,"['Wisden Cricketer of the Year 1995', 'Honorary Member of the Order of Australia, Nov 2009']","విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1995,, హానోరేరి మెంబర్ ఆఫ్ ది ఆర్డర్ ఆఫ్ ఆస్ట్రేలియా, నవంబర్ 2009"
431901,nan,
52371,nan,
52343,nan,
731949,nan,
52397,nan,
55166,nan,
1086206,nan,
670037,nan,
52340,nan,
52345,['Wisden Cricketer of the Year 1971'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1971
1056843,nan,
55194,nan,
775421,nan,
52342,nan,
52335,nan,
52413,nan,
906749,nan,
431903,nan,
355349,nan,
848623,nan,
51651,nan,
51639,nan,
51659,nan,
51660,nan,
51652,nan,
51644,nan,
51657,['Wisden Cricketer of the Year 1989'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 1989
55169,nan,
51649,nan,
51637,nan,
1168667,nan,
51647,nan,
431905,nan,
51653,nan,
51655,nan,
51643,['Tasmania First-Class Career Span: 1985-86'],తస్మానియా ఫస్ట్-క్లాస్ క్యారీర్ స్పాన్: 1985-86
348031,nan,
370132,nan,
51640,nan,
51641,nan,
314652,nan,
806991,nan,
47481,nan,
47186,nan,
47270,['Wisden Cricketer of the Year 2004'],విస్డెన్ క్రికెటర్ ఆఫ్ ది ఇయర్ 2004
47157,nan,
47185,nan,
